# Todt HAN
ID	WCFS1.glc.1	WCFS1.glc.2	WCFS1.rib.1	WCFS1.rib.2	NC8.glc.1	NC8.glc.2	NC8.rib.1	NC8.rib.2
lp_0001	8100	9599	8144	7000	7117	8278	7457	6980
lp_0002	12679	15856	11539	11049	10815	14348	10552	10735
lp_0004	1795	1946	1470	1607	1489	1407	1587	1699
lp_0005	8538	8740	5699	7402	6497	8565	6581	8342
lp_0009	56040	42130	31941	23500	61965	37353	20498	18188
lp_0010	105615	90094	60086	52584	103873	91726	45530	44802
lp_0011	68724	63725	37616	37478	63512	66621	31123	31592
lp_0012	6956	7088	6693	7813	5982	6857	7613	8339
lp_0013	3968	3834	3215	4480	3153	4021	3562	4994
lp_0014	5029	4999	3983	4605	4206	4573	4658	5528
lp_0015	341	246	277	306	446	314	341	415
lp_0016	883	737	604	856	799	1038	956	1264
lp_0017	1546	1598	1217	1621	1621	1671	1961	2353
lp_0018	186	171	305	386	207	247	484	514
